Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Sep-21,72.9971,74.5644,72.916,74.322,74.322,NULL,INR
1-Aug-21,74.245,74.65,72.9048,73.4112,73.4112,NULL,INR
1-Jul-21,74.3711,75.205,74.1544,74.252,74.252,NULL,INR
1-Jun-21,72.4872,74.5448,72.458,74.2876,74.2876,NULL,INR
1-May-21,74.088,74.494,72.3358,72.3935,72.3935,NULL,INR
1-Apr-21,73.2035,75.7248,73.105,74.1058,74.1058,NULL,INR
1-Mar-21,73.5959,74.125,72.266,73.4453,73.4453,NULL,INR
1-Feb-21,72.9066,74.1787,72.268,73.5959,73.5959,NULL,INR
1-Jan-21,73.0892,73.779,72.7675,72.9066,72.9066,NULL,INR
1-Dec-20,74.0252,74.27,72.9466,73.134,73.134,NULL,INR
1-Nov-20,74.264,75.001,73.6431,73.9409,73.9409,NULL,INR
1-Oct-20,73.705,74.702,72.934,74.264,74.264,NULL,INR
1-Sep-20,73.67,74.222,72.7185,73.845,73.845,NULL,INR
1-Aug-20,74.8769,75.365,73.0345,73.1283,73.1283,NULL,INR
1-Jul-20,75.557,75.75,74.4303,74.99,74.99,NULL,INR
1-Jun-20,75.5132,76.655,74.9144,75.7,75.7,NULL,INR
1-May-20,75.72,76.55,75.0395,75.5132,75.5132,NULL,INR
1-Apr-20,76.11,77.685,74.805,75.2585,75.2585,NULL,INR
1-Mar-20,72.15,77.755,71.9525,75.4,75.4,NULL,INR
1-Feb-20,71.4965,72.815,71.064,72.15,72.15,NULL,INR
1-Jan-20,71.2758,72.5,70.6065,71.64,71.64,NULL,INR
1-Dec-19,71.723,71.96,70.471,71.311,71.311,NULL,INR
1-Nov-19,71.2725,72.36,70.4715,71.722,71.722,NULL,INR
1-Oct-19,70.638,71.76,70.6065,70.99,70.99,NULL,INR
1-Sep-19,71.6803,72.62,70.366,70.4987,70.4987,NULL,INR
1-Aug-19,68.9999,72.335,68.867,71.6802,71.6802,NULL,INR
1-Jul-19,68.9405,69.3575,68.2023,69.0775,69.0775,NULL,INR
1-Jun-19,69.804,70.1125,68.869,69.325,69.325,NULL,INR
1-May-19,69.6375,70.96,69.0625,69.98,69.98,NULL,INR
1-Apr-19,69.43,70.54,68.378,69.8118,69.8118,NULL,INR
1-Mar-19,70.816,71.2,68.3505,69.43,69.43,NULL,INR
1-Feb-19,70.95,71.9,70.39,71.19,71.19,NULL,INR
1-Jan-19,69.71,71.57,69.08,71.12,71.12,NULL,INR
1-Dec-18,69.7705,72.7,69.47,69.9225,69.9225,NULL,INR
1-Nov-18,74.07,74.0751,69.58,69.92,69.92,NULL,INR
1-Oct-18,72.5005,74.9,72.5005,73.65,73.65,NULL,INR
1-Sep-18,70.735,73.25,70.63,72.51,72.51,NULL,INR
1-Aug-18,68.4505,71.19,68.21,71.405,71.405,NULL,INR
1-Jul-18,68.435,69.24,68.25,68.685,68.685,NULL,INR
1-Jun-18,67.4205,69.21,66.79,68.7967,68.7967,NULL,INR
1-May-18,66.4503,68.54,66.33,67.43,67.43,NULL,INR
