Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Feb-24,"21,780.65","22,297.50","21,530.20","21,982.80","21,982.80","6,728,200",INR
1-Jan-24,"21,727.75","22,124.15","21,137.20","21,725.70","21,725.70","6,824,400",INR
1-Dec-23,"20,194.10","21,801.45","20,183.70","21,731.40","21,731.40","6,121,400",INR
1-Nov-23,"19,064.05","20,158.70","18,973.70","20,133.15","20,133.15","4,386,100",INR
1-Oct-23,"19,622.40","19,849.75","18,837.85","19,079.60","19,079.60","4,248,400",INR
1-Sep-23,"19,258.15","20,222.45","19,255.70","19,638.30","19,638.30","5,666,500",INR
1-Aug-23,"19,784.00","19,795.60","19,223.65","19,253.80","19,253.80","6,027,500",INR
1-Jul-23,"19,246.50","19,991.85","19,234.40","19,753.80","19,753.80","5,802,500",INR
1-Jun-23,"18,579.40","19,201.70","18,464.55","19,189.05","19,189.05","5,144,400",INR
1-May-23,"18,124.80","18,662.45","18,042.40","18,534.40","18,534.40","5,737,500",INR
1-Apr-23,"17,427.95","18,089.15","17,312.75","18,065.00","18,065.00","4,459,800",INR
1-Mar-23,"17,360.10","17,799.95","16,828.35","17,359.75","17,359.75","5,622,200",INR
1-Feb-23,"17,811.60","18,134.75","17,255.20","17,303.95","17,303.95","5,685,600",INR
1-Jan-23,"18,131.70","18,251.95","17,405.55","17,662.15","17,662.15","5,632,700",INR
1-Dec-22,"18,871.95","18,887.60","17,774.25","18,105.30","18,105.30","4,741,600",INR
1-Nov-22,"18,130.70","18,816.05","17,959.20","18,758.35","18,758.35","5,257,200",INR
1-Oct-22,"17,102.10","18,022.80","16,855.55","18,012.20","18,012.20","4,539,900",INR
1-Sep-22,"17,485.70","18,096.15","16,747.70","17,094.35","17,094.35","6,896,300",INR
1-Aug-22,"17,243.20","17,992.20","17,154.80","17,759.30","17,759.30","5,589,500",INR
1-Jul-22,"15,703.70","17,172.80","15,511.05","17,158.25","17,158.25","5,475,300",INR
1-Jun-22,"16,594.40","16,793.85","15,183.40","15,780.25","15,780.25","5,514,100",INR
1-May-22,"16,924.45","17,132.85","15,735.75","16,584.55","16,584.55","6,343,200",INR
1-Apr-22,"17,436.90","18,114.65","16,824.70","17,102.55","17,102.55","5,658,100",INR
1-Mar-22,"16,593.10","17,559.80","15,671.45","17,464.75","17,464.75","7,959,500",INR
1-Feb-22,"17,529.45","17,794.60","16,203.25","16,793.90","16,793.90","5,620,100",INR
1-Jan-22,"17,387.15","18,350.95","16,836.80","17,339.85","17,339.85","5,435,500",INR
1-Dec-21,"17,104.40","17,639.50","16,410.20","17,354.05","17,354.05","5,499,300",INR
1-Nov-21,"17,783.15","18,210.15","16,782.40","16,983.20","16,983.20","5,853,100",INR
1-Oct-21,"17,531.90","18,604.45","17,452.90","17,671.65","17,671.65","7,651,200",INR
1-Sep-21,"17,185.60","17,947.65","17,055.05","17,618.15","17,618.15","6,955,600",INR
1-Aug-21,"15,874.90","17,153.50","15,834.65","17,132.20","17,132.20","6,349,900",INR
1-Jul-21,"15,755.05","15,962.25","15,513.45","15,763.05","15,763.05","5,756,800",INR
1-Jun-21,"15,629.65","15,915.65","15,450.90","15,721.50","15,721.50","8,079,100",INR
1-May-21,"14,481.05","15,606.35","14,416.25","15,582.80","15,582.80","9,859,900",INR
1-Apr-21,"14,798.40","15,044.35","14,151.40","14,631.10","14,631.10","9,344,700",INR
1-Mar-21,"14,702.50","15,336.30","14,264.40","14,690.70","14,690.70","9,886,800",INR
1-Feb-21,"13,758.60","15,431.75","13,661.75","14,529.15","14,529.15","14,313,900",INR
1-Jan-21,"13,996.10","14,753.55","13,596.75","13,634.60","13,634.60","13,119,900",INR
1-Dec-20,"13,062.20","14,024.85","12,962.80","13,981.75","13,981.75","12,077,600",INR
1-Nov-20,"11,697.35","13,145.85","11,557.40","12,968.95","12,968.95","13,004,600",INR
1-Oct-20,"11,364.45","12,025.45","11,347.05","11,642.40","11,642.40","11,602,500",INR
1-Sep-20,"11,464.30","11,618.10","10,790.20","11,247.55","11,247.55","12,928,400",INR
1-Aug-20,"11,057.55","11,794.25","10,882.25","11,387.50","11,387.50","14,035,500",INR
1-Jul-20,"10,323.80","11,341.40","10,299.60","11,073.45","11,073.45","14,640,200",INR
1-Jun-20,"9,726.85","10,553.15","9,544.35","10,302.10","10,302.10","16,778,800",INR
1-May-20,"9,533.50","9,598.85","8,806.75","9,580.30","9,580.30","13,675,900",INR
1-Apr-20,"8,584.10","9,889.05","8,055.80","9,859.90","9,859.90","12,736,300",INR
1-Mar-20,"11,387.35","11,433.00","7,511.10","8,597.75","8,597.75","21,303,000",INR
1-Feb-20,"11,627.45","12,246.70","11,175.05","11,201.75","11,201.75","10,198,200",INR
1-Jan-20,"12,202.15","12,430.50","11,929.60","11,962.10","11,962.10","10,965,400",INR
1-Dec-19,"12,137.05","12,293.90","11,832.30","12,168.45","12,168.45","12,549,800",INR
1-Nov-19,"11,886.60","12,158.80","11,802.65","12,056.05","12,056.05","13,178,000",INR
1-Oct-19,"11,515.40","11,945.00","11,090.15","11,877.45","11,877.45","15,461,000",INR
1-Sep-19,"10,960.95","11,694.85","10,670.25","11,474.45","11,474.45","12,210,000",INR
1-Aug-19,"11,060.20","11,181.45","10,637.15","11,023.25","11,023.25","11,153,100",INR
1-Jul-19,"11,839.90","11,981.75","10,999.40","11,118.00","11,118.00","9,988,500",INR
1-Jun-19,"11,953.75","12,103.05","11,625.10","11,788.85","11,788.85","6,788,000",INR
1-May-19,"11,725.55","12,041.15","11,108.30","11,922.80","11,922.80","8,645,600",INR
1-Apr-19,"11,665.20","11,856.15","11,549.10","11,748.15","11,748.15","6,516,900",INR
1-Mar-19,"10,842.65","11,630.35","10,817.00","11,623.90","11,623.90","6,857,200",INR
1-Feb-19,"10,851.35","11,118.10","10,585.65","10,792.50","10,792.50","7,461,400",INR
1-Jan-19,"10,868.85","10,987.45","10,583.65","10,830.95","10,830.95","7,273,800",INR
1-Dec-18,"10,930.70","10,985.15","10,333.85","10,862.55","10,862.55","6,533,100",INR
1-Nov-18,"10,441.70","10,922.45","10,341.90","10,876.75","10,876.75","5,318,400",INR
1-Oct-18,"10,930.90","11,035.65","10,004.55","10,386.60","10,386.60","7,030,800",INR
1-Sep-18,"11,751.80","11,751.80","10,850.30","10,930.45","10,930.45","5,151,800",INR
1-Aug-18,"11,359.80","11,760.20","11,234.95","11,680.50","11,680.50","4,923,000",INR
1-Jul-18,"10,732.35","11,366.00","10,604.65","11,356.50","11,356.50","4,648,500",INR
